short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,club_jersey_number,club_contract_valid_until_year,nationality_name,nation_jersey_number,preferred_foot,international_reputation,pace,shooting,dribbling,passing,physic,defending,PlayerID,ClubID,LeagueID,Professionalism,Ambition,Leadership,Loyalty,InjuryProneness
Y. Suzuki,Yuito Suzuki鈴木 唯人,"CAM, ST",71,79,4200000,16000,23,14,2029,Japan,,Right,1,83,68,74,65,57,48,2384,48,3,65,70,50,70,45
J. Anthony,Jaidon Kya Denley Anthony,"LM, RM, LW",74,76,5500000,43000,25,11,2029,England,,Right,1,79,67,75,70,67,39,2385,6,1,75,60,70,65,50
M. Senesi,Marcos Nicolás Senesi Barón,CB,78,78,12000000,68000,28,5,2026,Argentina,,Left,2,56,42,72,70,75,79,2386,3,1,75,65,75,75,60
C. Coventry,Conor Coventry,"CDM, CM",67,72,1400000,6000,25,6,2027,Republic of Ireland,,Right,1,66,53,66,66,70,63,2387,228,13,70,60,55,65,45
L. Leroux,Louis Leroux,"CM, LB, LM",70,82,3800000,8000,19,66,2028,France,,Left,1,67,61,72,68,62,64,2388,90,5,65,70,60,70,50
M. Harris,Thomas Mark Harris,ST,68,71,1600000,7000,26,9,2028,Wales,18,Right,1,84,66,69,61,69,47,2389,237,13,65,60,60,65,60
D. Lovitz,Daniel Harry Lovitz,"LB, CB, LM",68,68,625000,4000,33,2,2025,United States,,Left,1,74,53,61,65,70,64,2390,142,8,80,50,75,75,65
G. Gocholeishvili,Giorgi Gocholeishviliგიორგი გოჩოლეიშვილი,"RB, RM",70,74,2100000,10000,24,16,2026,Georgia,,Right,1,85,54,69,63,72,61,2391,49,3,70,65,65,65,50
K. Rosenberry,Keegan Rosenberry,"RB, LB, RM, LM",70,70,1200000,6000,31,2,2027,United States,,Right,1,68,51,65,61,74,68,2392,131,8,80,55,75,80,55
T. Rothe,Tom Alexander Rothe,"LB, LM, CB",74,81,8000000,20000,20,15,2030,Germany,,Left,1,61,50,68,70,76,71,2393,44,3,65,75,60,75,50
T. Beelen,Thomas Beelen,CB,74,82,8500000,12000,24,3,2028,Netherlands,,Right,1,77,43,68,63,77,74,2394,100,6,70,70,65,70,50
Tomás Araújo,Tomás Lemos Araújo,"CB, RB, RM",78,86,29000000,17000,23,44,2029,Portugal,,Right,1,82,30,72,69,79,77,2395,210,12,70,80,65,70,45
D. Kourbelis,Dimitrios KourbelisΔημήτριος Κουρμπέλης,"CDM, CM, CB",72,72,1600000,19000,31,21,2026,Greece,,Right,1,75,52,67,64,75,70,2396,178,10,80,50,75,75,55
J. Seys,Joaquin Seys,"RB, LB, RM",73,86,7000000,16000,20,65,2028,Belgium,,Left,1,81,48,70,68,67,67,2397,259,99,65,70,60,70,50
Bigas,Pedro Bigas Rigo,CB,74,74,1400000,21000,34,6,2026,Spain,,Left,1,57,52,65,64,79,74,2398,26,2,80,55,75,80,65
A. Atta,Arthur Atta,"CM, RM, CAM",69,78,3100000,9000,22,14,2029,France,,Right,1,72,59,71,66,69,62,2399,78,4,65,70,50,70,45
F. Ivanović,Franjo Ivanović,"ST, CAM",75,83,12500000,15000,21,9,2030,Croatia,20,Right,1,72,78,74,66,72,29,2400,210,12,60,80,45,70,45
M. Škriniar,Milan Škriniar,CB,81,81,21000000,62000,30,37,2029,Slovakia,,Right,3,57,52,65,60,81,83,2401,195,11,85,75,85,80,55
O. Targhalline,Oussama Targhallineأسامة ترجملين,"CM, CDM, CB",73,80,6000000,11000,23,28,2028,Morocco,,Right,1,49,63,72,70,64,68,2402,100,6,70,70,65,70,45
K. Baccus,Keanu Kole Baccus,"CM, CDM",66,67,975000,3000,27,25,2027,Australia,,Right,1,77,57,67,63,66,63,2403,126,7,70,60,55,65,45
B. El Khannouss,Bilal El Khannoussبلال الخنوص,"CAM, LM, CM",76,84,17000000,32000,21,11,2026,Morocco,23,Right,1,76,64,82,76,56,38,2404,56,3,60,75,45,65,45
M. Gregoritsch,Michael Gregoritsch,ST,75,75,4800000,17000,31,9,2028,Austria,,Left,2,37,77,68,68,76,42,2405,265,99,70,60,70,75,65
Y. Baas,Youri Baas,"CB, LB",75,83,12000000,14000,22,15,2028,Netherlands,,Left,1,71,40,72,69,71,76,2406,97,6,70,75,65,65,45
P. Katseris,Panos KatserisΠάνος Κατσέρης,"RM, RB",70,75,2400000,10000,23,77,2028,Greece,,Right,1,79,60,70,65,65,61,2407,85,5,70,65,65,65,45
A. Rrahmani,Amir Kadri Rrahmani,CB,83,83,25000000,120000,31,13,2027,Kosovo,,Right,3,69,51,63,60,78,84,2408,72,4,85,70,85,80,55
R. Højlund,Rasmus Winther Højlund,ST,76,83,15500000,63000,22,19,2026,Denmark,9,Left,1,85,76,72,58,79,33,2409,72,4,60,80,55,70,55
K. Goudmijn,Kenzo Goudmijn,"CM, CDM, CAM",68,74,1900000,8000,23,24,2026,Netherlands,,Right,1,77,57,73,67,56,61,2410,102,6,65,75,50,75,45
Dani Silva,Daniel Filipe Bandeira e Silva,"CDM, CM, CB",69,74,1900000,13000,25,80,2029,Portugal,,Right,1,62,57,70,68,69,60,2411,267,99,75,60,70,65,50
N. Janvier,Nicolas Janvier,"CM, CAM",68,69,1400000,7000,26,17,2026,France,,Right,1,64,62,67,66,67,62,2412,189,11,70,60,55,65,45
L. Öztunalı,Levin Mete Öztunali,"RW, CM, RM",67,67,1000000,11000,29,47,2026,Germany,,Right,1,74,64,68,65,66,48,2413,49,3,70,55,55,75,55
L. Mazzitelli,Luca Mazzitelli,"CM, CDM",71,71,1800000,48000,29,4,2026,Italy,,Right,1,40,62,70,74,65,64,2414,61,4,70,55,55,75,55
D. Churlinov,Darko ChurlinovДарко Чурлинов,"LM, RM, LW",68,71,1600000,11000,24,17,2027,North Macedonia,,Right,1,78,65,71,62,57,50,2415,205,11,70,65,65,65,50
F. Balogun,Folarin Jolaoluwa Jerry Balogun,"ST, CAM",77,82,16000000,30000,23,9,2028,United States,,Right,1,84,77,77,62,68,23,2416,89,5,65,80,50,70,45
P. Sandler,Philippe Sandler,CB,74,74,3600000,11000,28,3,2029,Netherlands,,Right,1,68,44,70,69,72,74,2417,107,6,75,60,70,80,60
A. Bell,Amari'i Kyren Bell,"CB, LB, LM",70,70,1100000,9000,31,17,2027,Jamaica,,Left,1,75,50,67,61,73,70,2418,228,13,80,50,75,75,55
L. Cameron,Lyall Cameron,"CM, CAM",67,77,2300000,17000,22,16,2026,Scotland,,Right,1,77,65,66,66,57,59,2419,125,7,65,65,50,65,45
E. Linthorst,"Henricus Gerardus Hubertus Maria ""Evert"" Linthorst","CDM, CM",69,74,1900000,6000,25,8,2028,Netherlands,,Right,1,66,60,67,62,76,65,2420,102,6,70,70,55,75,45
P. Clement,Pelle Clement,"CM, CDM, LM, CB",67,67,1000000,5000,29,8,2026,Netherlands,,Right,1,76,61,67,70,64,56,2421,110,6,75,55,70,75,60
C. Palacios,Carlos Alonso Enrique Palacios Núñez,"CAM, RW, CM",76,79,10000000,17000,24,8,2029,Chile,,Right,1,83,71,76,73,68,27,2422,256,99,65,80,50,70,50
Alam Araújo,Alam Cristian Araújo Martins,"LB, LM",72,72,2100000,14000,29,23,2028,Brazil,,Left,1,73,51,67,64,68,72,2423,158,9,75,55,70,75,60
M. Doski,Merchas Doski,"LB, LM",68,71,1500000,10000,25,14,2027,Iraq,,Left,1,75,54,71,65,62,62,2424,280,99,75,60,70,65,50
K. Walker-Peters,Kyle Leonardus Walker-Peters,"RB, RM, LB",75,75,5000000,53000,28,2,2028,England,,Right,1,76,47,76,68,64,71,2425,19,1,75,70,70,80,60
Y. Cathline,Yoann Cathline,"LW, LM",75,84,12500000,12000,22,10,2028,France,,Right,1,83,70,79,66,55,43,2426,113,6,60,80,55,70,55
I. Konaté,Ibrahima Konaté,CB,86,87,70000000,155000,26,5,2026,France,15,Right,4,77,34,69,63,85,86,2427,12,1,85,90,90,70,45
João Simões,João Pedro Arnauth Barrocas Simões,"CM, CAM, CDM",69,83,3200000,6000,18,52,2030,Portugal,,Left,1,71,60,70,68,65,60,2428,222,12,60,75,45,75,45
Gustavo Silva,Gustavo da Silva Cunha,"LM, LW, ST",71,72,2200000,10000,26,11,2028,Brazil,,Right,1,82,70,69,62,68,46,2429,224,12,65,65,60,70,60
O. Ergün,Onur Ergün,"CDM, CM",67,67,675000,8000,32,4,2026,Türkiye,,Right,1,53,63,63,63,72,66,2430,200,11,75,50,60,75,65
Danisco Fachini,Daniel Clayton Fachini Lobato,"CDM, CM",75,75,2800000,28000,33,14,2028,Brazil,,Right,1,66,44,69,67,70,74,2431,162,9,75,60,60,75,65
I. Bebou,Ihlas Bebou,"ST, RW, RM",75,75,4800000,35000,31,9,2026,Togo,,Right,2,82,74,78,68,57,34,2432,51,3,70,60,70,75,65
Y. Méïté,Yakou Méïté,"ST, RM, RW",69,69,1400000,13000,29,11,2028,Côte d'Ivoire,,Left,1,78,69,63,56,82,47,2433,187,10,65,60,60,80,70
A. Manneh,Alasana Manneh,"CDM, CM",68,71,1400000,5000,27,8,2028,Gambia,,Left,1,68,60,70,67,63,62,2434,121,7,70,60,55,65,45
Carlos Vicente,Carlos Vicente Robles,"RM, RW, RB",78,79,16500000,31000,26,7,2027,Spain,,Right,1,79,72,76,74,58,31,2435,21,2,75,70,70,65,50
H. Onyekuru,Henry Chukwuemeka Onyekuru,"LM, LW",72,72,2400000,14000,28,7,2027,Nigeria,,Right,1,90,72,74,63,62,35,2436,198,11,65,55,60,75,70
I. Van der Brempt,Ignace Van der Brempt,"RB, RM",71,78,3600000,38000,23,77,2028,Belgium,,Right,1,73,57,68,65,71,67,2437,62,4,70,70,65,70,45
K. Arriaga,Kervin Fabián Arriaga Villanueva,"CDM, CB, CM",73,76,3500000,21000,27,16,2027,Honduras,,Right,1,61,49,62,63,83,74,2438,30,2,75,65,70,70,50
Ilie Sánchez,Ilie Sánchez Farrés,"CM, CDM",71,71,875000,6000,34,6,2025,Spain,,Right,1,47,50,71,66,75,70,2439,128,8,75,55,60,80,65
C. Ngonge,Cyril Ngonge,"RM, RW, CAM",72,75,3100000,50000,25,26,2026,Belgium,,Left,1,82,72,75,66,58,35,2440,77,4,70,65,55,70,45
Sergi Palencia,Sergi Palencia Hurtado,"RB, RM, LB, RW",70,70,1400000,6000,29,14,2025,Spain,,Right,1,78,56,69,62,72,65,2441,140,8,75,60,70,80,60
M. Bjørlo,Morten Bjørlo,"CM, CAM",67,67,1000000,8000,29,42,2027,Norway,,Right,1,59,63,66,67,65,62,2442,203,11,70,55,55,75,55
J. Williams,Joseph Michael Williams,"CDM, CM",70,71,1500000,20000,28,8,2027,England,,Right,1,53,57,68,68,68,68,2443,227,13,70,55,55,75,55
N. Saliba,Nathan-Dylan Saliba,"CM, CAM, CDM",68,77,2700000,10000,21,13,2029,Canada,,Right,1,67,61,74,67,64,58,2444,260,99,60,70,45,70,45
E. Owusu,Elisha Owusu,"CDM, CM",73,76,3500000,18000,27,42,2027,Ghana,15,Right,1,55,54,70,68,70,70,2445,80,5,70,65,55,70,45
M. Valenta,Matěj Valenta,"CM, CAM, CDM",68,71,1600000,11000,25,32,2027,Czechia,,Right,1,66,64,66,66,68,61,2446,280,99,70,60,55,65,45
M. Fernandez-Pardo,Matias Fernandez-Pardo,"LM, RM, LW",75,84,12500000,19000,20,7,2029,Spain,,Right,1,87,71,76,68,57,39,2447,84,5,60,75,45,65,45
F. Pellistri,Facundo Pellistri Rebollo,"RM, LM, RW",73,81,7000000,16000,23,28,2028,Uruguay,,Right,1,82,64,75,66,63,38,2448,269,99,70,70,65,70,45
Y. Konoplia,Yukhym KonoplyaКонопля Юхим Дмитрович,"RB, RM, LB",72,75,2900000,14000,25,26,2026,Ukraine,2,Right,1,81,47,69,69,66,67,2449,282,99,75,60,70,65,50
J. Araujo,Julián Vicente Araujo Zúñiga,"RB, RM",74,81,8000000,44000,23,2,2029,Mexico,,Right,1,83,35,70,64,73,71,2450,3,1,70,65,65,65,45
Kauã Elias,Kauã Elias Nogueira,ST,71,83,4500000,11000,19,19,2029,Brazil,,Right,1,80,67,74,63,72,39,2451,282,99,55,65,50,65,55
M. Kaars,Martijn Kaars,ST,71,73,2400000,17000,26,19,2027,Netherlands,,Right,1,82,71,70,65,71,35,2452,55,3,65,65,60,70,60
Helito Caldeira,Helio Paulo Caldeira Andrade,"RB, RM",68,68,1100000,9000,29,5,2028,Brazil,,Right,1,63,54,64,60,73,68,2453,163,9,75,55,70,75,60
A. Klynge,Anders Ferslev Klynge,"CM, CAM",68,75,2400000,4000,24,22,2028,Denmark,,Right,1,67,60,68,65,69,63,2454,273,99,65,65,50,65,50
A. Touba,Ahmed Toubaأحمد توبة,CB,70,70,1500000,13000,27,5,2028,Algeria,,Left,1,70,53,62,62,82,68,2455,269,99,75,65,70,70,50
Álvaro Núñez,Álvaro Núñez Cobo,"RB, RM",72,77,3300000,14000,24,15,2026,Spain,,Right,1,75,44,70,68,73,67,2456,26,2,70,70,65,70,50
Pedro Chirivella,Pedro Chirivella Burgos,"CDM, CM",73,74,2900000,19000,28,4,2027,Spain,,Right,1,54,51,67,69,69,69,2457,269,99,70,60,55,80,55
S. Bakari,Saïd Riad Bakari,"RB, RM",67,67,875000,5000,30,18,2026,Comoros,,Right,1,78,57,67,61,76,61,2458,110,6,80,55,75,75,55
C. Echeverri,Claudio Jeremías Echeverri,"CAM, CM, LW",74,86,10000000,54000,19,9,2026,Argentina,,Right,1,84,66,80,71,47,38,2459,43,3,60,65,45,65,45
Paolinho Leima,Paolo Marco Leima Donatelo,"RB, RM",69,69,1400000,12000,25,24,2028,Brazil,,Right,1,75,50,69,65,72,63,2460,157,9,75,60,70,65,50
A. Forshaw,Adam John Forshaw,"CM, CDM",68,68,750000,14000,33,28,2026,England,,Right,1,48,61,68,68,66,63,2461,226,13,75,50,60,75,65
G. Sazdağı,Gökhan Sazdağı,"RB, ST, LM, RM",69,69,1200000,18000,30,25,2027,Türkiye,,Right,1,69,64,66,66,62,63,2462,191,11,80,60,75,80,55
N. Dorgeles,Dorgeles Nene,"ST, RM, LM, CAM",71,78,3800000,27000,22,45,2030,Mali,,Left,1,87,72,76,64,54,38,2463,195,11,65,70,50,70,45
O. Bayrak,Ogün Bayrak,"RB, RM",68,71,1500000,7000,26,77,2026,Türkiye,,Right,1,79,62,66,64,63,61,2464,199,11,75,60,70,65,50
D. Kutesa,Dereck Germano Kutesa,"LM, CAM, ST, LW",73,73,3200000,22000,27,7,2028,Switzerland,,Right,1,89,71,74,66,67,40,2465,270,99,70,60,55,65,45
J. Scally,Joseph Michael Scally,"RB, CB, LB, RM",74,78,5500000,20000,22,29,2027,United States,19,Right,1,83,49,69,60,76,71,2466,46,3,70,70,65,70,45
T. Dibling,Tyler-Jay Robert Dibling,"RM, RW, CAM",74,85,9000000,23000,19,20,2029,England,,Left,1,77,67,77,70,66,38,2467,9,1,60,70,45,70,45
M. Pjaca,Marko Pjaca,"LM, RM, CAM, LW",71,71,1800000,12000,30,7,2027,Croatia,24,Right,1,72,69,76,67,65,40,2468,112,6,75,55,60,75,55
Luildo Simões,Luan Vágner Simões Eustáquio,"CAM, CM",70,70,1800000,11000,25,19,2028,Brazil,,Right,1,71,70,69,69,61,46,2469,160,9,70,65,55,70,45
H. Jung,Ho-yeon Jung정호연,"CM, CDM, CB",70,76,2500000,5000,24,22,2027,Korea Republic,,Right,1,66,54,72,63,76,61,2470,141,8,70,70,65,70,50
A. Shinnie,Andrew Murray Shinnie,"CM, LW, ST",64,64,230000,2000,35,22,2026,Scotland,,Right,1,67,59,67,64,68,60,2471,123,7,75,50,60,75,65
V. Jensen,Victor Christoffer Jensen,"CAM, CM",69,74,2000000,7000,25,7,2026,Denmark,,Right,1,70,66,71,65,64,55,2472,113,6,70,65,55,70,45
Sandelas Júnior,Leonardo Luis Sandelas Junior,"CDM, CM",73,73,2600000,15000,29,5,2028,Brazil,,Left,1,61,53,64,65,75,71,2473,158,9,70,55,55,75,55
Gabriel Silva,Gabriel Silva Vieira,"LW, ST, RM, LM",74,83,9500000,9000,23,10,2027,Brazil,,Right,1,96,69,74,67,61,29,2474,221,12,60,70,55,70,55
D. Calvert-Lewin,Dominic Nathaniel Calvert-Lewin,ST,74,74,4300000,51000,28,9,2028,England,,Right,1,72,72,70,63,75,38,2475,11,1,65,60,60,80,70
Diego Carlos,Diego Carlos Santos Silva,CB,78,78,9000000,50000,32,34,2026,Brazil,,Right,2,63,47,67,62,76,78,2476,62,4,80,65,80,80,65
B. Meling,Birger Solberg Meling,"LB, LM",72,72,2000000,17000,30,24,2027,Norway,,Left,1,73,51,70,64,64,69,2477,266,99,80,60,75,80,55
Adilson Edrada,Adilson Patrick Edrada Pereira,"CAM, CM",76,76,7500000,20000,29,10,2028,Brazil,,Right,1,77,71,80,70,55,32,2478,158,9,70,65,55,75,55
L. Valente,Luciano Valente,"CAM, CM",72,82,5500000,9000,21,40,2029,Netherlands,,Right,1,69,62,74,69,68,47,2479,100,6,60,70,45,70,45
Paulo Moreira,Paulo Daniel Valente Moreira,"CM, CAM, CDM",67,72,1500000,3000,25,19,2026,Portugal,,Right,1,69,64,65,70,62,53,2480,211,12,70,65,55,70,45
A. Engwanda,Alonzo Tim Engwanda-Ongena,"CDM, CM",70,79,3400000,6000,22,27,2028,Belgium,,Right,1,78,51,69,60,74,68,2481,113,6,65,70,50,70,45
J. Todibo,Jean-Clair Dimitri Roger Todibo,CB,78,81,16500000,58000,25,25,2029,France,,Right,2,75,47,69,63,73,79,2482,19,1,75,75,75,70,50
M. Olsson,Martin Tony Waikwa Olsson,"CB, LB, LM",66,66,150000,3000,37,13,2025,Sweden,,Left,1,53,61,64,65,70,65,2483,276,99,80,50,75,75,65
C. Fassnacht,Christian Fassnacht,"RM, LM, ST, RW",72,72,1900000,17000,31,16,2027,Switzerland,,Right,1,76,67,72,68,69,36,2484,264,99,70,50,65,75,65
M. Delgado,Marco Antonio Delgado,"CDM, CM",72,72,2000000,7000,30,8,2025,United States,,Right,1,67,52,67,66,70,68,2485,140,8,75,60,60,80,55
S. Lammers,Sam Adrianus Martinus Lammers,"ST, CAM",73,73,3100000,15000,28,10,2027,Netherlands,,Left,1,65,74,76,65,69,36,2486,112,6,70,55,55,75,55
D. Sallói,Dániel Sallói,"LW, LM",71,71,1900000,7000,28,10,2026,Hungary,,Right,1,75,71,71,68,70,35,2487,154,8,70,55,55,75,55
J. Acheampong,Joshua Kofi Acheampong,"RB, CB, CDM, RM",70,85,3600000,33000,19,34,2029,England,,Right,1,76,50,69,65,73,66,2488,7,1,65,75,60,75,50
G. Papanikolaou,Giannis PapanikolaouΓιάννης Παπανικολάου,"CDM, CM, CB",68,71,1400000,7000,26,6,2027,Greece,,Right,1,72,56,67,63,76,63,2489,192,11,75,65,70,70,50
E. Dinkçi,Eren Sami Dinkçi,"CAM, RM, CM",74,80,6500000,21000,23,18,2029,Türkiye,,Right,1,86,72,75,69,60,31,2490,48,3,65,70,50,70,45
E. Lepaul,Estéban Lepaul,"ST, CAM, CM",75,80,8500000,25000,25,9,2029,France,,Right,1,75,75,74,60,68,36,2491,94,5,70,70,55,65,45
Jason Bardeira,Jason Bardeira Cunha,ST,78,78,16000000,23000,25,9,2028,Brazil,,Right,1,73,82,70,62,75,31,2492,160,9,65,75,60,70,60
Dersan Dinis,Dersan Jaime Dinis Abravanel,"RW, RM",72,72,2300000,17000,29,18,2028,Brazil,,Right,1,78,66,67,69,69,52,2493,165,9,65,60,60,80,70
A. Schjelderup,Andreas Rædergård Schjelderup,"LW, CAM, LM",75,83,12500000,14000,21,21,2028,Norway,16,Right,1,80,68,80,69,57,36,2494,210,12,60,80,45,70,45
Alfon,Alfonso González Martínez,"LM, LW, CAM",76,77,9000000,29000,26,17,2028,Spain,,Right,1,77,71,77,71,67,32,2495,38,2,70,75,55,70,45
T. Allende,Tadeo Allende,"RM, LM, ST, RW",72,73,2800000,19000,26,21,2025,Argentina,,Right,1,80,74,69,65,73,36,2496,138,8,65,65,60,70,60
G. Biancone,Giulian Biancone,"CB, RB",73,77,3800000,21000,25,4,2027,France,,Right,1,67,45,68,65,74,72,2497,268,99,75,65,70,70,50
A. Şimşir,Doğuhan Aral Şimşir,"LW, LM",73,81,7000000,21000,23,58,2029,Türkiye,,Right,1,80,64,75,72,66,36,2498,267,99,60,65,55,65,55
D. Luna,Diego Ángel Luna,"LM, CAM, LW",72,79,4800000,5000,21,8,2026,United States,,Right,1,79,64,76,66,71,42,2499,149,8,60,65,45,65,45
J. Varane,Jonathan Varane,"CDM, CM",71,80,3900000,19000,23,40,2030,France,,Right,1,63,49,69,64,78,69,2500,240,13,65,65,50,65,45
G. Mancini,Gianluca Mancini,CB,83,83,30500000,75000,29,23,2027,Italy,23,Right,3,70,50,64,57,82,85,2501,75,4,80,75,80,80,55
J. Christensen,Jacob Steen Christensen,"CDM, CM",68,74,1800000,2000,24,14,2028,Denmark,,Right,1,65,56,68,66,66,65,2502,272,99,65,65,50,65,50
J. Clarke,Jack Raymond Clarke,"LM, LW, RM",74,80,6500000,39000,24,47,2029,England,,Right,1,78,71,75,68,60,40,2503,232,13,65,70,50,70,50
S. Kingsley,Stephen Kingsley,"CB, LB, LM",67,67,825000,4000,30,3,2027,Scotland,,Left,1,56,54,67,67,72,66,2504,120,7,80,55,75,75,55
N. Radoja,Nemanja RadojaНемања Радоја,"CDM, CM, CB",73,73,2000000,7000,32,6,2025,Serbia,,Right,1,42,61,70,69,72,68,2505,154,8,80,50,75,75,65
E. Choupo-Moting,Jean-Eric Maxim Choupo-Moting,"ST, CAM",75,75,1900000,8000,36,13,2026,Cameroon,,Right,2,60,73,77,68,70,38,2506,145,8,75,60,65,75,65
M. Merentiel,Miguel Ángel Merentiel Serrano,"ST, RW, RM",76,76,7500000,22000,29,16,2026,Uruguay,,Right,1,80,75,73,56,79,37,2507,256,99,65,70,60,80,70
I. Gharbi,Ismaël Gharbi Álvarez,"LM, CAM, LW",73,82,7000000,9000,21,11,2026,Tunisia,,Right,1,78,67,79,69,56,41,2508,41,3,60,70,45,70,45
M. James,Matthew Lee James,"CDM, CM",68,68,600000,20000,33,37,2026,England,,Right,1,50,61,64,70,69,65,2509,248,13,75,50,60,75,65
J. Souttar,John Souttar,CB,73,74,2900000,39000,28,5,2026,Scotland,15,Right,1,73,48,70,63,77,72,2510,125,7,75,55,70,75,60
Marcos Leonardo,Marcos Leonardo Santos Almeida,"ST, CAM, CM",79,85,28500000,44000,22,9,2029,Brazil,,Right,1,78,78,75,63,67,27,2511,176,10,65,75,50,65,45
João Aurélio,João Miguel Coimbra Aurélio,"RB, RM",66,66,190000,2000,36,2,2026,Portugal,,Right,1,59,59,66,66,69,63,2512,218,12,80,50,75,75,65
M. Godts,Mika Marcel Godts,"LW, LM",74,85,9500000,13000,20,11,2029,Belgium,,Right,1,81,64,81,68,61,39,2513,97,6,60,65,45,65,45
A. Herrera,Aarón Joseph Herrera,"RB, RM, CB",71,71,1700000,6000,28,22,2025,Guatemala,,Right,1,71,49,70,69,75,67,2514,133,8,75,60,70,80,60
J. El Yamiq,Jawad El Yamiqجواد اليميق,CB,73,73,1500000,12000,33,5,2026,Morocco,18,Right,1,85,53,63,53,80,72,2515,180,10,80,50,75,75,65
I. Chaira,Ilyas Chaira Oihiإلياس شيرا أويهي,"LM, RM, CAM, LW",72,77,3500000,19000,24,7,2028,Morocco,,Right,1,79,69,73,69,63,40,2516,36,2,65,70,50,70,50
N. Viergever,Nick Viergever,CB,73,73,800000,8000,35,24,2026,Netherlands,,Left,1,68,53,66,64,76,73,2517,113,6,80,55,75,80,65
J. Campbell,Josh Campbell,"CAM, CM",64,68,825000,2000,25,32,2027,Scotland,,Right,1,70,61,65,61,72,60,2518,121,7,70,60,55,65,45
M. Riisnæs,Magnus Bech Riisnæs,"CM, RW, RB, CAM",65,79,1700000,2000,20,23,2029,Norway,,Right,1,76,60,67,63,69,58,2519,273,99,65,65,60,65,50
Pedrinho,Pedro Victor Delmino da Silva,"RM, CAM, LM, RW",73,73,3200000,17000,27,38,2026,Brazil,,Left,1,82,64,78,71,53,42,2520,282,99,70,60,55,65,45
Juanmi,Juan Miguel Jiménez López,"ST, LM, CAM",74,74,3400000,31000,32,7,2027,Spain,,Right,1,74,73,75,69,60,31,2521,28,2,75,50,60,75,65
O. Sahraoui,Osame Sahraoui,"LM, CAM, LW",76,82,12000000,24000,24,11,2029,Morocco,,Right,1,83,63,82,68,54,45,2522,84,5,65,75,50,65,50
R. Ndiaye,Rassoul Ndiaye,"CM, CDM",70,75,2400000,8000,23,14,2026,Senegal,,Right,1,69,55,69,64,71,67,2523,82,5,65,70,50,70,45
N. Miroshi,Novatus Dismas Miroshi,"CDM, LB, CB, CM",68,78,2600000,6000,22,20,2028,Tanzania,,Left,1,75,51,68,66,74,64,2524,199,11,70,65,65,65,45
B. Bouchouari,Benjamin Bouchouariبنيامين بوشواري,"CM, CDM",70,79,3500000,23000,23,6,2028,Morocco,,Right,1,66,59,76,68,61,58,2525,206,11,65,65,50,65,45
V. Jemelka,Václav Jemelka,"CB, LB",74,74,3500000,21000,30,21,2027,Czechia,20,Left,1,66,49,68,65,77,73,2526,280,99,80,55,75,75,55
Vinícius Tobías,Vinicius Augusto Tobias da Silva,"RB, RM, LB",70,81,3400000,9000,21,17,2029,Brazil,,Right,1,78,49,71,66,66,64,2527,282,99,65,65,60,65,50
E. Hamilton,Ethan Billy Hamilton,"CM, CAM, CDM",65,68,925000,2000,26,48,2028,Scotland,,Left,1,59,64,65,63,78,60,2528,117,7,70,60,55,65,45
O. Óskarsson,Orri Steinn Óskarsson,ST,74,83,9500000,25000,20,9,2030,Iceland,9,Right,1,74,73,70,63,74,31,2529,37,2,55,70,50,70,55
C. Cadden,Christopher Cadden,"RB, RM",66,66,775000,3000,28,12,2027,Scotland,,Right,1,69,58,66,64,73,60,2530,121,7,75,55,70,75,60
Y. El Arabi,Youssef El Arabiيوسف العربي,ST,73,73,1000000,13000,38,19,2026,Morocco,,Right,1,59,76,72,65,64,37,2531,90,5,70,55,65,80,75
Manu Silva,Manuel Jorge Silva,"CDM, CB",72,81,4900000,11000,24,16,2030,Portugal,,Right,1,59,51,64,66,81,69,2532,210,12,70,70,65,70,50
P. Stojanović,Petar Stojanović,"RB, RM, RW",69,69,1200000,6000,29,30,2028,Slovenia,,Right,1,77,51,65,63,69,63,2533,274,99,75,55,70,75,60
A. Ait El Hadj,Anouar Ait El Hadj,"CAM, CM, LM",72,77,3500000,15000,23,10,2028,Belgium,,Right,1,70,69,76,69,61,44,2534,258,99,65,70,50,70,45
A. Cubas,Adrián Andrés Cubas,"CDM, CM, CB",74,74,3600000,8000,29,20,2026,Paraguay,,Right,1,69,47,71,66,56,73,2535,156,8,75,55,70,75,60
W. Cartagena,Wilder José Cartagena Mendoza,"CDM, CM, CB",69,69,1200000,5000,30,16,2025,Peru,,Right,1,73,54,65,59,78,66,2536,146,8,80,60,75,80,55
B. Locko,Bradley Locko Banzouzi,"LB, LM",75,81,8500000,18000,23,2,2027,France,,Left,1,73,50,71,63,67,74,2537,81,5,70,75,65,65,45
H. Magnetti,Hugo Magnetti,"CDM, CM",76,78,8000000,22000,27,8,2027,France,,Right,1,44,50,75,68,75,70,2538,81,5,70,70,55,65,45
Elildo Petri,Elias Thiago Petri Taffarel,"RM, CAM, RW",75,75,5500000,23000,29,18,2028,Brazil,,Right,1,73,68,77,75,69,29,2539,167,9,70,70,55,80,55
M. Targett,Matthew Robert Targett,"LB, LM",71,71,1600000,57000,29,3,2026,England,,Left,1,62,47,69,70,59,72,2540,234,13,75,60,70,80,60
